[0x000078cc] | Fusion               | INFO  | 2023-05-17 09:46:09,566 | Module Handle 0000023A464C0000 fuses.plugin
[0x00004f28] | Fusion               | INFO  | 2023-05-17 09:46:09,582 | Module Handle 0000023A71A70000 opencolorio.plugin
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,599 | Module Handle 0000023A6ADF0000 openfx.plugin
[0x00007b34] | Fusion               | INFO  | 2023-05-17 09:46:09,615 | Module Handle 0000023A68DA0000 openvr.plugin
[0x0000772c] | Fusion               | INFO  | 2023-05-17 09:46:09,632 | Module Handle 0000023A6AE60000 paint.plugin
[0x00003934] | Fusion               | INFO  | 2023-05-17 09:46:09,653 | Module Handle 0000023A6AED0000 particles.plugin
[0x0000204c] | Fusion               | INFO  | 2023-05-17 09:46:09,673 | Module Handle 0000023A720D0000 text.plugin
[0x000078cc] | Fusion               | INFO  | 2023-05-17 09:46:09,690 | Module Handle 0000023A6CB80000 utilities.plugin
[0x00004f28] | Fusion               | INFO  | 2023-05-17 09:46:09,715 | Module Handle 00007FF89F590000 KrokodoveFu16.plugin
[0x00005f70] | Fusion               | INFO  | 2023-05-17 09:46:09,717 | Module Handle 00007FF89F330000 KrokodoveFu17.plugin
[0x00004f28] | OpenFX               | INFO  | 2023-05-17 09:46:09,817 | No context is available for com.absoft.NeatVideo5
[0x00007fc8] | Main                 | INFO  | 2023-05-17 09:46:09,828 | Started listener socket at port 15000
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:10,308 | Show splash screen message: Checking Licenses
[0x00004fe8] | BtCommon             | INFO  | 2023-05-17 09:46:10,532 | Memory config: reserved=12270M pinned=8000M log=0
[0x00004fe8] | BtCommon             | INFO  | 2023-05-17 09:46:10,532 | Using default pooled memory manager
[0x00003798] | LeManager            | INFO  | 2023-05-17 09:46:10,533 | 521, 29
[0x00008180] | BtCommon             | INFO  | 2023-05-17 09:46:10,533 | BtResourceManager Process Thread Started
[0x00004fe8] | IO                   | INFO  | 2023-05-17 09:46:10,609 | WMF encoder cnt for SW (hvc1) is (0)
